Khoản vay,6 tháng,9 tháng,12 tháng,15 tháng,18 tháng
2000000,411000,293000,,,
3000000,610000,433000,,,
4000000,809000,573000,458000,392000,348000
5000000,1008000,714000,569000,486000,431000
6000000,1207000,854000,680000,581000,515000
7000000,1406000,994000,792000,676000,599000
8000000,1605000,1134000,903000,771000,683000
9000000,1804000,1274000,1014000,865000,766000
10000000,2003000,1415000,1126000,960000,850000
11000000,2202000,1555000,1237000,1055000,934000
12000000,2401000,1695000,1348000,1150000,1018000
13000000,2600000,1835000,1460000,1244000,1101000
14000000,2799000,1975000,1571000,1339000,1185000
15000000,2998000,2116000,1682000,1434000,1269000
16000000,3198000,2256000,1794000,1529000,1353000
17000000,3397000,2396000,1905000,1624000,1436000
18000000,3596000,2536000,2016000,1718000,1520000
19000000,3795000,2677000,2128000,1813000,1604000
20000000,3994000,2817000,2239000,1908000,1688000
21000000,4193000,2957000,2350000,2003000,1771000
22000000,4392000,3097000,2462000,2097000,1855000
23000000,4591000,3237000,2573000,2192000,1939000
24000000,4790000,3378000,2684000,2287000,2023000
25000000,4989000,3518000,2796000,2382000,2106000
26000000,5188000,3658000,2907000,2476000,2190000
27000000,5387000,3798000,3018000,2571000,2274000
28000000,5586000,3938000,3130000,2666000,2358000
29000000,5785000,4079000,3241000,2761000,2441000
30000000,5984000,4219000,3352000,2855000,2525000
